movieCd,movieNm,movieNmEn,watchGradeNm,openDt,showTm,genreNm,directors
20189462,셜록 놈즈,Sherlock Gnomes,"[{'auditNo': '2018-MF01631', 'watchGradeNm': '전체관람가'}]",20181003,86,"[{'genreNm': '애니메이션'}, {'genreNm': '코미디'}]","[{'peopleNm': '존 스티븐슨', 'peopleNmEn': 'John Stevenson'}]"
20167903,원더풀 고스트,THE SOUL-MATE,"[{'auditNo': '2018-MF01556', 'watchGradeNm': '12세이상관람가'}]",20180926,96,"[{'genreNm': '코미디'}, {'genreNm': '드라마'}, {'genreNm': '범죄'}]","[{'peopleNm': '조원희', 'peopleNmEn': 'JO Won-hee'}]"
20180167,에그엔젤 코코밍: 두근두근 핼러윈 파티,,"[{'auditNo': '2018-MF01640', 'watchGradeNm': '전체관람가'}]",20180922,68,[{'genreNm': '애니메이션'}],"[{'peopleNm': '닛타 노리오', 'peopleNmEn': 'Norio Nitta'}]"
20189746,극장판 뽀잉: 슈퍼 변신의 비밀,"Boing, The Secret of Super Transformation","[{'auditNo': '2018-MF01580', 'watchGradeNm': '전체관람가'}]",20180920,72,[{'genreNm': '애니메이션'}],"[{'peopleNm': '정미화', 'peopleNmEn': ''}]"
20172204,명당,FENGSHUI,"[{'auditNo': '2018-MF01659', 'watchGradeNm': '12세이상관람가'}]",20180919,126,[{'genreNm': '사극'}],"[{'peopleNm': '박희곤', 'peopleNmEn': 'PARK Hee-gon'}]"
20177308,협상,THE NEGOTIATION,"[{'auditNo': '2018-MF01579', 'watchGradeNm': '15세이상관람가'}]",20180919,114,[{'genreNm': '범죄'}],"[{'peopleNm': '이종석', 'peopleNmEn': 'LEE Jong-seok'}]"
20189262,더 넌,The Nun,"[{'auditNo': '2018-MF01605', 'watchGradeNm': '15세이상관람가'}]",20180919,96,[{'genreNm': '공포(호러)'}],"[{'peopleNm': '코린 하디', 'peopleNmEn': 'Corin Hardy'}]"
20188304,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,Yo-Kai Watch 4,"[{'auditNo': '2018-MF01630', 'watchGradeNm': '전체관람가'}]",20180920,103,[{'genreNm': '애니메이션'}],"[{'peopleNm': '우시로 신지', 'peopleNmEn': 'Shinji Ushiro'}]"
20189268,루이스,Luis and the Aliens,"[{'auditNo': '2018-MF01576', 'watchGradeNm': '전체관람가'}]",20180920,85,[{'genreNm': '애니메이션'}],"[{'peopleNm': '울프강 라우엔슈타인', 'peopleNmEn': 'Wolfgang Lauenstein'}, {'peopleNm': '크리스토프 라우엔슈타인', 'peopleNmEn': 'Christoph Lauenstein'}]"
20156554,물괴,Monstrum,"[{'auditNo': '2018-MF01525', 'watchGradeNm': '15세이상관람가'}]",20180912,105,"[{'genreNm': '액션'}, {'genreNm': '사극'}]","[{'peopleNm': '허종호', 'peopleNmEn': 'HUH Jong-ho'}]"
20188581,더 프레데터,The Predator,"[{'auditNo': '2018-MF01578', 'watchGradeNm': '청소년관람불가'}]",20180912,107,"[{'genreNm': 'SF'}, {'genreNm': '액션'}, {'genreNm': '스릴러'}]","[{'peopleNm': '쉐인 블랙', 'peopleNmEn': 'Shane Black'}]"
20176122,안시성,The Great Battle,"[{'auditNo': '2018-MF01604', 'watchGradeNm': '12세이상관람가'}]",20180919,135,"[{'genreNm': '사극'}, {'genreNm': '액션'}]","[{'peopleNm': '김광식', 'peopleNmEn': 'KIM Kwang-sik'}]"
20189362,업그레이드,UPGRADE,"[{'auditNo': '2018-MF01151', 'watchGradeNm': '15세이상관람가'}]",20180906,100,[{'genreNm': '액션'}],"[{'peopleNm': '리 워넬', 'peopleNmEn': 'Leigh Whannell'}]"
20189261,어드리프트:우리가 함께한 바다,ADRIFT,"[{'auditNo': '2018-MF01442', 'watchGradeNm': '12세이상관람가'}]",20180906,96,"[{'genreNm': '멜로/로맨스'}, {'genreNm': '드라마'}]","[{'peopleNm': '발타자르 코루마쿠르', 'peopleNmEn': 'Baltasar Kormakur'}]"
20185046,서치,Searching,"[{'auditNo': '2018-MF01283', 'watchGradeNm': '12세이상관람가'}]",20180829,102,[{'genreNm': '드라마'}],"[{'peopleNm': '아니쉬 차간티', 'peopleNmEn': 'Aneesh Chaganty'}]"
20177537,상류사회,High Society,"[{'auditNo': '2018-MF01412', 'watchGradeNm': '청소년관람불가'}]",20180829,119,[{'genreNm': '드라마'}],"[{'peopleNm': '변혁', 'peopleNmEn': 'BYUN Daniel H.'}]"
20139221,그래비티,Gravity,"[{'auditNo': '2013-MF00637 ', 'watchGradeNm': '12세이상관람가'}, {'auditNo': '2013-MF00674 ', 'watchGradeNm': '12세이상관람가'}]",20131017,90,"[{'genreNm': 'SF'}, {'genreNm': '드라마'}]","[{'peopleNm': '알폰소 쿠아론', 'peopleNmEn': 'Alfonso Cuaron'}]"
20153446,너의 결혼식,On Your Wedding Day,"[{'auditNo': '2018-MF01200', 'watchGradeNm': '12세이상관람가'}]",20180822,110,[{'genreNm': '멜로/로맨스'}],"[{'peopleNm': '이석근', 'peopleNmEn': 'LEE Seok-keun'}]"
20187647,나를 차버린 스파이,The Spy Who Dumped Me,"[{'auditNo': '2018-MF01408', 'watchGradeNm': '15세이상관람가'}]",20180822,117,"[{'genreNm': '액션'}, {'genreNm': '코미디'}]","[{'peopleNm': '수잔나 포겔', 'peopleNmEn': 'Susanna Fogel'}]"
